Date,Type1,Type2,Analyzer1,Analyzer2,Flow,Stage2_3,Stage3_1,Stage3_2,Stage3_3,Stage4_1,Stage4_2,Stage4_3,Stage4_4,Stage4_5,Stage3_4,Stage4_6,Stage1_1,Stage2_1,Stage3_5,Stage3_6,Stage4_7,Stage4_8,Stage2_2,Stage1_2,Stage3_9,Stage3_7,Stage3_8,Stage4_9
2000.5.2 3:10,1,,4.236856926,-15.42266667,126.5053333,98.7647,2100.441667,1.141286667,1.469043333,62.8356,55.93668333,1799.761667,117.694,3.374975,5.50004,59.8788,319.3366667,221.6553333,232.2731667,246.856,166.1728333,270.6681667,216.8486667,313.8226667,233.4993333,159.8138333,289.7048333,64.57705
2000.5.2 3:20,1,,4.238649807,-15.43213333,126.0223333,98.73735,2100.096667,1.146478333,1.421441667,62.38861667,56.0192,1798.233333,119.662,3.30759,5.500931667,59.86606667,319.6251667,221.67,232.2896667,246.954,166.0891667,270.5706667,216.8385,313.8043333,233.6265,159.8863333,290.0121667,64.27291667
2000.5.2 3:30,1,,4.2291031,-15.47528333,126.1603333,98.79515,2100.038333,1.155695,1.414723333,62.33268333,56.0244,1800.388333,119.574,2.959375,5.5003,59.91915,319.863,221.6981667,232.3803333,247.0358333,166.1813333,270.4488333,216.8321667,313.5926667,233.6453333,160.2401667,290.1275,64.40006667
2000.5.2 3:40,1,,4.225942016,-15.48216667,126.0978333,98.8088,2099.926667,1.122573333,1.410976667,62.29465,55.99921667,1801.643333,120.1953333,1.944596667,5.500223333,59.87721667,320.0341667,221.7355,232.537,247.11,166.248,270.1238333,216.8826667,313.556,233.8545,159.9505,290.1203333,64.95775
2000.5.2 3:50,1,,4.224627834,-15.43215,126.0455,98.80726667,2100.143333,1.1614,1.357675,61.40366667,55.33771667,1799.205,120.3136667,2.047603333,5.500633333,59.82418333,320.1475,221.7483333,232.6193333,247.151,166.373,270.002,216.9155,313.7493333,233.85,160.3396667,290.3375,64.28321667
2000.5.2 4:00,1,,4.222887248,-15.2368,126.4941667,98.8179,2099.53,1.175585,1.368563333,60.47921667,55.01393333,1799.925,119.8638333,3.559623333,5.498888333,60.13295,320.283,221.785,232.644,247.2408333,166.2146667,270.018,216.9476667,313.916,233.7988333,160.5125,290.1538333,62.89193333
2000.5.2 4:10,1,,4.219540964,-15.14393333,126.5283333,98.87481667,2100.451667,1.181426667,1.468075,60.483,54.97578333,1799.67,118.7786667,3.171943333,5.499668333,60.2788,320.3128333,221.7998333,232.6275,247.3888333,166.0808333,269.636,216.9868333,313.9543333,233.8001667,159.8988333,290.0103333,63.12888333
2000.5.2 4:20,1,,4.227195079,-14.65691667,126.3401667,98.93233333,2099.975,1.145821667,1.544838333,61.33623333,54.99198333,1798.998333,118.2391667,2.953643333,5.500078333,60.18638333,320.35,221.801,232.5863333,247.2736667,166.1225,269.5711667,216.9838333,313.8893333,233.6786667,160.3535,289.9155,64.2989
2000.5.2 4:30,1,,4.222325593,-14.39408333,126.4655,99.05121667,2100.213333,1.156936667,1.52414,61.27258333,54.95758333,1798.841667,118.86,3.071131667,5.50004,59.92863333,320.4061667,221.8108333,232.4711667,247.2163333,166.2313333,269.5711667,216.9685,313.806,233.6331667,159.9545,289.7625,65.69583333
2000.5.2 4:40,1,,4.223894375,-13.8778,126.1116667,99.00741667,2101.13,1.168938333,1.522143333,61.13895,54.99475,1800.343333,119.3591667,3.05582,5.500558333,59.79503333,320.4213333,221.8155,232.5205,247.2083333,166.273,269.7418333,216.9583333,313.781,233.6831667,160.1148333,290.0753333,65.89171667
